prompt,completion
Generate a name for a   with the following properties: ,Berserker Axe
Write a description for a weapon called 'Berserker Axe',"Weapon (any axe), rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Berserker Axe
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any axe), rare (requires attunement)"
Generate a name for a   with the following properties: ,Dagger of Venom
Write a description for a weapon called 'Dagger of Venom',"Weapon (dagger), rare"
Generate a fantasy weapon of type: ,"Name: Dagger of Venom
Damage Type: 
Damage: 
Properties: 
Description: Weapon (dagger), rare"
Generate a name for a   with the following properties: ,Dancing Sword
Write a description for a weapon called 'Dancing Sword',"Weapon (any sword), very rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Dancing Sword
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword), very rare (requires attunement)"
Generate a name for a   with the following properties: ,Defender
Write a description for a weapon called 'Defender',"Weapon (any sword), legendary (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Defender
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword), legendary (requires attunement)"
Generate a name for a   with the following properties: ,Dragon Slayer
Write a description for a weapon called 'Dragon Slayer',"Weapon (any sword), rare"
Generate a fantasy weapon of type: ,"Name: Dragon Slayer
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword), rare"
Generate a name for a   with the following properties: ,Dwarven Thrower
Write a description for a weapon called 'Dwarven Thrower',"Weapon (warhammer), very rare (requires attunement by a dwarf)"
Generate a fantasy weapon of type: ,"Name: Dwarven Thrower
Damage Type: 
Damage: 
Properties: 
Description: Weapon (warhammer), very rare (requires attunement by a dwarf)"
Generate a name for a   with the following properties: ,Flame Tongue
Write a description for a weapon called 'Flame Tongue',"Weapon (any sword), rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Flame Tongue
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword), rare (requires attunement)"
Generate a name for a   with the following properties: ,Frost Brand
Write a description for a weapon called 'Frost Brand',"Weapon (any sword), very rare (requires attunement)"
